res,message
spam,Alert: Your bank account has been compromised. Call now to secure it: 0906001234.
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
ham,"Sir, I need AXIS BANK account no and bank address."
spam,"You've been credited $300. Text ""CONFIRM"" to 9876543210 to activate."
spam,Your mobile balance is at risk. Dial 088776655 for immediate assistance.
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
spam,You have won a $500 voucher. Please send your full name and address to claim.
ham,Rs.6.00 credited to a/c *0109 on 24/12/2024 by a/c linked to VPA goog-payments@axisbank (UPI Ref no 506580053594). Dial 1930 for Cyber Fraud -Indian Bank
spam,You have won a free mobile recharge of $500. Reply “REDEEM” to activate.
ham,A/c 3XXXXX3438 debited by Rs. 118 Total Bal: Rs.  1177.25 CR Clr Bal: Rs. 1177.25 CR. Never share OTP/Password for EMI postponement or any reason.-CBoI
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,Ok. Very good. Its all about making that money.
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
ham,An amount of INR 1100.00 has been CREDITED to your account XXX152 on 15/09/2024.Total Avail.bal INR 3788.74.- Canara Bank
spam,"Urgent! You've won a $500 shopping voucher. Text ""WIN"" to 88999 to claim."
spam,Dear User Good News! Your Wallet A/c is credited successfully with Rs. 15000 on 17-10-2024 Check now http://Kx7.in/LXFAST/hNKCMO Fast Loans
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
spam,"Congrats 79046XX, INR. 10,000 to INR. 2,00,000* loan is ready to be credited to your Bank A/c on 23-12-2024. Check Offer http://kx16.in/MOBIKW/9NaEhu -MobiKwik"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
spam,Urgent: Your bank account has been frozen. Call 123-456-7890 to unlock it.
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
spam,"Your account has been credited with $500. Reply ""YES"" to claim now. Limited offer!"
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
spam,"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Ã¥Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
spam,Your bank account has been credited with $2000. Verify by clicking: http://securelink.com.
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Cancel cheyyamo?and get some money back?
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Wah lucky man... Then can save money... Hee...
spam,Your bank account is being reviewed. Please confirm your identity: http://secureaccount.com
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,Dear customer your Atal Pension Yojana contribution amount for the Month October is Rs 42/- Kindly maintain sufficient balance in your a/c XXXX7152 and avoid penalty if any. Canara Bank.
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
spam,Money i have won wining number 946 wot do i do next
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,I have no money 4 steve mate! !
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,Your account has been credited with 5000 loyalty points. Redeem them now: http://loyaltyredeem.com.
spam,Your account has been credited with $1000 in rewards! Activate now.
spam,"You've been selected for a free prize! Send ""WIN"" to 30303 now to claim."
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
spam,Alert: Your bank transaction has failed. Please confirm your account details here: http://securebank.com
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
ham,Let me know when you've got the money so carlos can make the call
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,Ok. I asked for money how far
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
spam,Your account has been credited with $2500. Please call 0909-098-7654 to confirm your details.
spam,Congratulations! You’ve been awarded a $10000 grant. Call 0903-202020 to claim.
spam,"You’ve been selected to receive a $300 gift card. To claim it text ""REDEEM"" to 7743."
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
spam,Your loan application has been approved for $5000. To confirm visit: http://loanconfirm.com
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
spam,Congratulations! You've won an all-expenses-paid vacation. Claim it now at: http://vacationwin.com.
spam,Urgent: Your credit card is being charged. Call 800-999-8765 to stop it.
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
spam,Ur balance is now Ã¥Â£600. Next question: Complete the landmark Big A. Bob B. Barry or C. Ben ?. Text A B or C to 83738. Good luck!
spam,You’ve earned 500 reward points! Redeem your points here: http://redeemreward.com
ham,I always chat with you. In fact i need money can you raise me?
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
spam,Urgent: Unusual activity detected in your bank account. Verify your details at: http://bankverify.com.
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
spam,Free 1000 bonus points in your account. Redeem them here: http://bonuslink.com
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,So what did the bank say about the money?
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Aight do you still want to get money
spam,"Special promotion: You’ve earned a free $1000. Claim now by texting ""CLAIM""."
ham,So that takes away some money worries
spam,Your account has been credited with 100 free texts. Confirm activation at: http://textcredit.com
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Amt Sent Rs.150.00 From HDFC Bank A/C *5081 To ARAVIND S/O MOHANRAJ On 07-10 Ref 428152506048 Not You? Call 18002586161/SMS BLOCK UPI to 7308080808
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
